E.J.M.Cowan,4,21,0,1,13,AUS
M.S.Wade,62,180,0,8,144,AUS
J.L.Pattinson,1,9,0,0,6,AUS
S.R.Tendulkar,7,33,0,1,15,IND
R.Ashwin,1,4,0,0,5,IND
E.J.M.Cowan,44,174,0,6,150,AUS
M.J.Clarke,16,39,1,0,31,AUS
P.M.Siddle,4,12,0,0,14,AUS
D.A.Warner,71,186,0,9,147,AUS
B.J. Haddin,21,50,1,2,36,AUS
N.M.Lyon,9,66,0,1,44,AUS
C.A.Pujara,1,12,0,0,13,IND
R.A.Jadeja,8,14,0,1,9,IND
P.P.Ojha,1,5,0,0,2,IND
S.P.D.Smith,5,21,0,0,19,AUS
M.C.Henriques,2,7,0,0,10,AUS
C.A.Pujara,28,76,0,5,51,IND
R.A.Jadeja,8,6,0,2,5,IND
S.R.Watson,28,53,0,3,60,AUS
M.A.Starc,3,14,0,0,3,AUS
V.Sehwag,2,28,0,0,11,IND
M.S.Dhoni,224,365,6,24,265,IND
I.Sharma,4,32,0,0,18,IND
P.J.Hughes,0,4,0,0,3,AUS
P.M.Siddle,2,19,0,0,20,AUS
V.Sehwag,19,34,0,3,23,IND
