D.A.Warner,6,11,0,1,8,AUS
M.J.Clarke,91,267,1,9,186,AUS
P.M.Siddle,0,9,0,0,14,AUS
C.A.Pujara,204,448,1,30,341,IND
R.A.Jadeja,10,20,1,1,13,IND
I.Sharma,2,13,0,0,12,IND
S.R.Watson,9,40,1,0,35,AUS
G.J.Maxwell,8,15,0,1,22,AUS
E.J.M.Cowan,86,295,0,8,238,AUS
S.P.D.Smith,92,236,1,10,185,AUS
M.A.Starc,99,146,0,14,144,AUS
S.Dhawan,187,300,2,33,174,IND
M.S.Dhoni,4,1,0,1,3,IND
I.Sharma,0,4,0,0,3,IND
P.J.Hughes,69,168,1,11,147,AUS
B.J. Haddin,30,81,0,5,72,AUS
X.J.Doherty,18,65,0,4,56,AUS
M.S.Dhoni,18,36,0,3,28,IND
P.J.Hughes,6,14,0,0,15,AUS
M.C.Henriques,68,173,0,5,132,AUS
N.M.Lyon,3,37,0,0,28,AUS
V.Kohlii,107,266,1,15,206,IND
B.Kumarr,38,167,0,4,97,IND
D.A.Warner,23,82,0,2,61,AUS
M.C.Henriques,81,159,2,6,148,AUS
N.M.Lyon,11,83,0,1,77,AUS
