4,136,11
5,96,21
17,19,84
25,23,47
12,91,267
14,62,180
11,5,21
6,13,19
18,0,9
9,1,9
28,0,5
27,136,36
3,204,448
24,7,33
26,34,119
13,44,60
20,10,20
21,1,96
7,0,7
2,10,18
8,2,13
5,44,174
4,26,72
17,0,12
25,9,40
12,16,39
14,10,44
11,0,3
6,8,15
18,96,12
9,0,23
28,1,23
5,86,295
4,71,186
12,0,1
17,2,39
23,92,236
1,21,50
11,0,1
18,0,22
10,99,146
16,9,66
28,5,13
15,153,467
22,187,300
3,1,12
24,37,122
26,67,178
13,96,1
20,8,14
21,96,9
2,18,113
8,0,96
19,1,5
4,2,3
5,8,35
17,69,168
23,5,21
16,18,52
12,18,52
1,30,81
11,2,7
18,13,10
10,35,113
28,18,65
3,28,76
26,34,79
24,21,69
13,18,36
20,8,136
5,29,55
4,59,133
17,136,14
25,28,53
12,130,323
14,12,33
11,68,173
10,3,14
18,19,111
9,15,44
16,3,37
27,2,28
3,144,116
24,281,257
26,207,266
13,300,365
20,16,63
21,3,13
2,38,167
8,96,32
5,32,98
25,17,53
4,23,82
17,0,96
12,31,69
14,8,23
11,81,159
18,2,19
9,11,26
10,8,8
16,11,83
27,319,34
3,8,34
24,13,9
